"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","283.525","283.490","283.875","281.275","","0.01%"
"09/23/2025","283.490","283.800","283.875","281.325","","-0.11%"
"09/22/2025","283.800","283.775","283.890","281.375","","0.01%"
"09/21/2025","283.775","283.775","283.775","283.775","","0.00%"
"09/20/2025","283.775","283.775","283.775","283.775","","0.00%"
"09/19/2025","283.775","283.775","283.875","281.375","","0.00%"
"09/18/2025","283.775","283.815","283.875","281.350","","-0.01%"
"09/17/2025","283.815","283.750","283.890","281.375","","0.02%"
"09/16/2025","283.750","283.560","283.875","281.425","","0.07%"
"09/15/2025","283.560","283.915","283.930","281.375","","-0.13%"
"09/14/2025","283.915","283.915","283.915","283.915","","0.00%"
"09/13/2025","283.915","283.915","283.915","283.915","","0.00%"
"09/12/2025","283.915","283.855","283.930","281.450","","0.02%"
"09/11/2025","283.855","283.855","283.870","281.500","","0.00%"
"09/10/2025","283.855","283.855","283.875","281.525","","0.00%"
"09/09/2025","283.855","283.855","283.875","281.475","","0.00%"
"09/08/2025","283.855","283.750","283.890","281.425","","0.04%"
"09/07/2025","283.750","283.750","283.750","283.750","","0.00%"
"09/06/2025","283.750","283.750","283.750","283.750","","0.00%"
"09/05/2025","283.750","283.880","283.880","281.600","","-0.05%"
"09/04/2025","283.880","283.850","283.880","281.600","","0.01%"
"09/03/2025","283.850","283.775","283.890","281.625","","0.03%"
"09/02/2025","283.775","283.750","283.875","281.575","","0.01%"
"09/01/2025","283.750","283.875","284.000","281.700","","-0.04%"
"08/31/2025","283.875","283.875","283.875","283.875","","0.00%"
"08/30/2025","283.875","283.875","283.875","283.875","","0.00%"
"08/29/2025","283.875","283.900","284.015","281.650","","-0.01%"
"08/28/2025","283.900","283.700","284.015","281.750","","0.07%"
"08/27/2025","283.700","283.700","284.000","281.725","","0.00%"
"08/26/2025","283.700","283.700","284.015","281.800","","0.00%"
"08/25/2025","283.700","283.700","284.015","281.775","","0.00%"
"08/24/2025","283.700","283.700","283.700","283.700","","-0.06%"
"08/23/2025","283.875","283.700","284.000","283.575","","0.06%"
"08/22/2025","283.700","283.725","284.000","281.825","","-0.01%"
"08/21/2025","283.725","283.750","284.015","281.825","","-0.01%"
"08/20/2025","283.750","283.725","284.015","281.850","","0.01%"
"08/19/2025","283.725","283.750","284.000","281.850","","-0.01%"
"08/18/2025","283.750","283.715","284.000","281.925","","0.01%"
"08/17/2025","283.715","283.715","283.715","283.715","","0.00%"
"08/16/2025","283.715","283.715","283.715","283.715","","0.00%"
"08/15/2025","283.715","283.715","284.400","281.950","","0.00%"
"08/14/2025","283.715","283.715","283.750","282.250","","0.00%"
"08/13/2025","283.715","283.875","284.500","282.125","","-0.06%"
"08/12/2025","283.875","283.875","284.700","282.325","","0.00%"
"08/11/2025","283.875","283.800","284.015","282.375","","0.03%"
"08/10/2025","283.800","283.800","283.800","283.800","","0.00%"
"08/09/2025","283.800","283.800","283.800","283.800","","0.00%"
"08/08/2025","283.800","283.875","284.840","282.375","","-0.03%"
"08/07/2025","283.875","283.940","284.910","281.750","","-0.02%"
"08/06/2025","283.940","283.750","284.750","282.500","","0.07%"
"08/05/2025","283.750","283.600","284.750","282.450","","0.05%"
"08/04/2025","283.600","283.690","284.750","282.550","","-0.03%"
"08/03/2025","283.690","283.690","283.690","283.690","","0.00%"
"08/02/2025","283.690","283.690","283.690","283.690","","0.00%"
"08/01/2025","283.690","283.875","284.750","282.625","","-0.07%"
"07/31/2025","283.875","283.750","284.500","282.800","","0.04%"
"07/30/2025","283.750","283.050","284.500","282.870","","0.25%"
"07/29/2025","283.050","285.000","285.200","282.950","","0.00%"
"07/28/2025","283.050","285.250","285.250","282.600","","-0.11%"
"07/27/2025","283.375","283.375","283.375","283.375","","0.00%"
"07/26/2025","283.375","283.375","283.375","283.375","","0.00%"
"07/25/2025","283.375","283.250","283.375","283.250","","-0.64%"
"07/24/2025","285.200","285.200","285.200","282.600","","0.18%"
"07/23/2025","284.700","285.000","286.250","284.700","","-0.05%"
"07/22/2025","284.840","285.000","285.100","284.750","","-0.06%"
"07/21/2025","285.000","286.250","286.250","284.875","","0.02%"
"07/20/2025","284.950","284.950","284.950","284.950","","0.00%"
"07/19/2025","284.950","284.950","284.950","284.950","","0.00%"
"07/18/2025","284.950","285.000","286.250","284.760","","-0.02%"
"07/17/2025","285.000","284.950","286.250","284.850","","0.02%"
"07/16/2025","284.950","284.650","286.250","283.850","","0.11%"
"07/15/2025","284.650","284.525","285.750","284.435","","0.07%"
"07/14/2025","284.450","285.750","285.750","284.435","","0.00%"
"07/13/2025","284.450","284.450","284.450","284.450","","0.00%"
"07/12/2025","284.450","284.450","284.450","284.450","","0.00%"
"07/11/2025","284.450","285.250","286.250","284.250","","-0.02%"
"07/10/2025","284.500","283.750","285.250","283.750","","0.26%"
"07/09/2025","283.750","283.750","285.250","283.750","","-0.18%"
"07/08/2025","284.250","283.750","284.340","283.750","","0.18%"
"07/07/2025","283.750","285.250","285.250","283.750","","-0.04%"
"07/06/2025","283.875","283.875","283.875","283.875","","0.00%"
"07/05/2025","283.875","283.875","283.875","283.875","","0.00%"
"07/04/2025","283.875","285.250","285.250","283.875","","0.04%"
"07/03/2025","283.750","283.750","285.250","282.175","","0.00%"
"07/02/2025","283.750","285.050","285.265","283.750","","0.00%"
"07/01/2025","283.750","283.700","283.750","283.700","","0.04%"
"06/30/2025","283.650","284.850","285.065","283.590","","0.00%"
"06/29/2025","283.650","283.650","283.650","283.650","","0.00%"
"06/28/2025","283.650","283.650","283.650","283.650","","0.00%"
"06/27/2025","283.650","283.650","284.850","283.575","","0.00%"
"06/26/2025","283.650","283.650","284.850","283.540","","0.00%"
"06/25/2025","283.650","283.650","284.950","283.575","","0.00%"
"06/24/2025","283.650","284.950","284.950","283.600","","0.00%"
"06/23/2025","283.650","283.750","283.865","283.275","","-0.04%"
"06/22/2025","283.750","283.750","283.750","283.750","","0.00%"
"06/21/2025","283.750","283.600","283.750","283.600","","0.07%"
"06/20/2025","283.550","283.625","283.750","283.525","","0.00%"
"06/19/2025","283.550","283.750","283.825","283.500","","0.00%"
"06/18/2025","283.550","283.350","283.675","282.675","","0.09%"
"06/17/2025","283.290","283.750","283.780","283.195","","-0.07%"
"06/16/2025","283.500","283.500","283.780","283.070","","0.19%"
"06/15/2025","282.950","282.950","282.950","282.950","","0.00%"
"06/14/2025","282.950","282.950","282.950","282.950","","0.00%"
"06/13/2025","282.950","282.200","283.515","282.200","","0.27%"
"06/12/2025","282.200","282.200","283.300","281.700","","0.00%"
"06/11/2025","282.200","283.050","283.050","282.200","","0.02%"
"06/10/2025","282.135","283.050","283.050","282.045","","0.00%"
"06/09/2025","282.135","282.200","282.215","282.120","","0.00%"
"06/08/2025","282.135","282.135","282.135","282.135","","0.00%"
"06/07/2025","282.135","282.135","282.135","282.135","","0.00%"
