"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2025","434.13","438.00","438.00","433.30","2.54M","-0.39%"
"12/08/2025","435.82","433.89","436.50","433.88","1.26M","0.60%"
"12/05/2025","433.24","438.97","439.50","431.99","2.24M","-0.17%"
"12/04/2025","433.97","435.71","438.50","432.10","400.53K","-0.39%"
"12/03/2025","435.69","448.00","448.00","434.51","1.26M","-2.07%"
"12/02/2025","444.90","442.00","447.39","440.20","1.74M","0.77%"
"12/01/2025","441.48","446.00","447.00","438.00","1.35M","-0.76%"
"11/28/2025","444.86","442.00","454.00","442.00","2.60M","0.92%"
"11/27/2025","440.79","422.15","443.00","422.15","4.22M","4.42%"
"11/26/2025","422.15","414.50","423.50","410.58","1.83M","2.54%"
"11/25/2025","411.69","414.60","417.00","410.00","1.01M","-0.38%"
"11/24/2025","413.27","418.00","420.89","410.00","991.02K","-1.06%"
"11/21/2025","417.71","420.00","422.00","417.00","734.52K","-0.50%"
"11/20/2025","419.81","422.50","426.60","418.01","1.12M","-0.47%"
"11/19/2025","421.80","421.00","425.50","420.00","822.74K","0.29%"
"11/18/2025","420.56","429.90","430.25","419.50","1.07M","-1.47%"
"11/17/2025","426.84","426.50","433.00","425.80","1.04M","0.42%"
"11/14/2025","425.05","422.00","426.45","420.50","1.55M","0.74%"
"11/13/2025","421.92","418.00","422.86","418.00","587.96K","1.15%"
"11/12/2025","417.11","423.49","423.90","414.00","756.24K","-0.73%"
"11/11/2025","420.16","427.50","427.98","418.00","1.09M","-1.47%"
"11/10/2025","426.41","428.51","432.47","422.62","1.84M","-0.11%"
"11/07/2025","426.87","422.00","429.67","421.90","461.15K","1.18%"
"11/06/2025","421.90","429.97","432.93","416.99","658.21K","-1.07%"
"11/05/2025","426.46","430.00","438.00","425.00","898.69K","-2.20%"
"11/04/2025","436.05","443.00","443.70","435.00","431.63K","-1.12%"
"11/03/2025","440.97","449.99","452.99","434.99","1.07M","-2.97%"
"10/31/2025","454.47","429.99","466.48","429.00","1.46M","6.76%"
"10/30/2025","425.71","432.00","433.49","425.00","604.30K","-0.54%"
"10/29/2025","428.04","431.00","435.00","426.50","645.12K","-0.66%"
"10/28/2025","430.89","440.00","447.10","430.00","481.24K","-1.83%"
"10/27/2025","438.90","442.00","442.00","435.00","529.58K","-0.87%"
"10/24/2025","442.74","450.00","452.00","441.10","1.03M","-2.12%"
"10/23/2025","452.35","456.00","457.02","449.00","506.62K","-0.52%"
"10/22/2025","454.70","459.01","460.20","452.25","754.68K","-0.77%"
"10/21/2025","458.23","460.67","465.00","450.10","594.67K","-0.53%"
"10/20/2025","460.67","455.00","462.49","452.01","641.94K","1.46%"
"10/17/2025","454.02","454.39","455.36","447.00","667.86K","-0.08%"
"10/16/2025","454.39","462.00","465.00","453.00","1.02M","-0.87%"
"10/15/2025","458.36","451.98","461.79","448.01","1.38M","2.02%"
"10/14/2025","449.27","435.00","450.92","435.00","1.18M","4.40%"
"10/13/2025","430.35","439.00","447.48","425.10","1.92M","-3.35%"
"10/10/2025","445.28","441.16","454.00","439.20","1.39M","0.19%"
"10/09/2025","444.42","442.39","450.00","441.49","690.40K","0.46%"
"10/08/2025","442.39","446.00","453.00","440.00","1.09M","-0.54%"
"10/07/2025","444.80","451.99","455.00","442.00","1.39M","-1.27%"
"10/06/2025","450.52","459.00","464.22","443.00","1.81M","-1.91%"
"10/03/2025","459.30","482.00","484.10","455.00","3.06M","-5.18%"
"10/02/2025","484.37","445.01","490.00","444.00","2.88M","8.64%"
"10/01/2025","445.83","431.11","448.98","431.11","1.38M","2.26%"
"09/30/2025","435.98","421.00","438.00","421.00","2.41M","4.08%"
"09/29/2025","418.88","413.00","420.00","411.80","1.14M","1.81%"
"09/26/2025","411.45","408.00","413.00","405.00","1.59M","1.81%"
"09/25/2025","404.15","403.00","405.00","400.29","357.94K","0.96%"
"09/24/2025","400.29","403.10","405.90","398.80","582.32K","-0.60%"
"09/23/2025","402.70","405.76","408.40","401.60","992.51K","-0.75%"
"09/22/2025","405.76","412.00","412.50","405.00","1.16M","-1.50%"
"09/19/2025","411.95","414.00","414.90","411.00","716.02K","-0.15%"
"09/18/2025","412.57","413.20","415.50","411.50","496.80K","0.15%"
"09/17/2025","411.95","416.75","418.49","409.90","699.56K","-1.00%"
"09/16/2025","416.10","407.99","417.45","406.00","1.91M","2.64%"
"09/15/2025","405.39","403.50","408.00","403.50","211.88K","0.31%"
"09/12/2025","404.15","408.20","408.20","402.00","525.63K","-1.02%"
"09/11/2025","408.31","406.25","412.00","403.00","840.95K","0.99%"
"09/10/2025","404.30","409.00","409.00","401.00","610.35K","-0.50%"
"09/09/2025","406.35","394.50","409.00","393.01","3.48M","3.13%"
"09/08/2025","394.03","392.01","394.94","392.01","1.75M","0.61%"
"09/05/2025","391.65","390.42","393.00","389.50","1.34M","0.32%"
"09/04/2025","390.42","391.00","391.49","388.06","1.04M","0.47%"
"09/03/2025","388.59","390.00","392.00","387.50","1.34M","-0.36%"
"09/02/2025","389.98","392.00","393.00","389.80","694.94K","-0.42%"
"09/01/2025","391.64","391.50","394.50","390.80","1.42M","0.18%"
"08/29/2025","390.93","395.00","397.01","390.00","1.39M","-1.03%"
"08/28/2025","395.00","395.00","399.00","393.00","923.41K","0.01%"
"08/27/2025","394.97","391.00","395.90","391.00","1.93M","0.95%"
"08/26/2025","391.24","394.90","396.00","389.21","1.78M","-1.31%"
"08/25/2025","396.42","404.21","404.21","390.89","1.50M","-3.12%"
"08/22/2025","409.19","414.10","415.90","407.01","1.80M","-1.05%"
"08/21/2025","413.55","426.16","426.45","409.00","2.69M","-2.96%"
"08/20/2025","426.16","427.90","429.97","425.00","1.05M","0.33%"
"08/19/2025","424.77","412.01","431.00","412.01","4.24M","3.57%"
"08/18/2025","410.12","395.00","414.47","395.00","2.57M","4.23%"
"08/15/2025","393.46","387.02","394.60","387.02","2.22M","1.66%"
"08/13/2025","387.02","384.40","400.01","381.22","5.50M","1.27%"
